handle,name,followers,engagement,region,profile_url,source
mackenziewc,Mackenzie William,2300000,5.22%,"Toronto, Canada",https://tiktok.com/@mackenziewc,influData
jeffnippardfitness,Jeff Nippard,1900000,9.24%,"Toronto, Canada",https://tiktok.com/@jeffnippardfitness,influData
genobonfiglio,genobonfiglio,1700000,,Canada,https://tiktok.com/@genobonfiglio,StarNgage
evancarmichael,Evan Carmichael,1600000,4.06%,"Toronto, Canada",https://tiktok.com/@evancarmichael,influData
tanktolman_,Tank Nerd Gym Trainer,869500,,Canada,https://tiktok.com/@tanktolman_,StarNgage
jaimie.weisberg,Jweisberg1,761700,,Canada,https://tiktok.com/@jaimie.weisberg,StarNgage
kendrafierce,Kendra Fierce,661900,,Canada,https://tiktok.com/@kendrafierce,StarNgage
gregorreynolds,Gregor Reynolds,531400,,Canada,https://tiktok.com/@gregorreynolds,StarNgage
stephaniecooks1,stephaniecooks1,514600,6.79%,"Toronto, Canada",https://tiktok.com/@stephaniecooks1,influData
wellnesswithlinds,Linds,503900,,Canada,https://tiktok.com/@wellnesswithlinds,StarNgage
saltandsagenutrition,saltandsagenutrition,464700,,Canada,https://tiktok.com/@saltandsagenutrition,StarNgage
thattrickerhuman,Hayden Laine Tricker,444900,,Canada,https://tiktok.com/@thattrickerhuman,StarNgage
lucaswoodofficial,Lou,438900,5.56%,"Toronto, Canada",https://tiktok.com/@lucaswoodofficial,influData
thedriman,Dr. Iman,433300,,Canada,https://tiktok.com/@thedriman,StarNgage
rawmarabyofficial,Rawmarabyofficial,421500,5.15%,"Toronto, Canada",https://tiktok.com/@rawmarabyofficial,influData
teepatz,Teepatz,389200,,Canada,https://tiktok.com/@teepatz,StarNgage
shantilleyufit,Shantilleyufit,386000,,Canada,https://tiktok.com/@shantilleyufit,StarNgage
bree.fit,Bree Formica,371400,,Canada,https://tiktok.com/@bree.fit,StarNgage
mad_fit,MadFit,363000,5.13%,"Toronto, Canada",https://tiktok.com/@mad_fit,influData
laura__robinson,laura,362900,6.05%,"Toronto, Canada",https://tiktok.com/@laura__robinson,influData
lululemon,lululemon,325000,,Canada,https://tiktok.com/@lululemon,StarNgage
joey_hornyak,Joey Hornyak,324000,,Canada,https://tiktok.com/@joey_hornyak,StarNgage
hsimranofficial365,Harsimran Singh,305100,,Canada,https://tiktok.com/@hsimranofficial365,StarNgage
wadestokan,wadestokan,272200,10.30%,"Toronto, Canada",https://tiktok.com/@wadestokan,influData
roblapham,Rob Lapham,265200,,Canada,https://tiktok.com/@roblapham,StarNgage
jessandneil,Jess & Neil,263100,7.35%,"Toronto, Canada",https://tiktok.com/@jessandneil,influData
loganmedeiros_,Logan Medeiros,260400,,Canada,https://tiktok.com/@loganmedeiros_,StarNgage
officialjeetsandhu7,Fearless,257600,,Canada,https://tiktok.com/@officialjeetsandhu7,StarNgage
struckbyluck,Luc H.,253000,,Canada,https://tiktok.com/@struckbyluck,StarNgage
hkpreet82,Husanpreet82,239400,,Canada,https://tiktok.com/@hkpreet82,StarNgage
braydonleeking7,Braydon Leeking,225800,,Canada,https://tiktok.com/@braydonleeking7,StarNgage
michellapomales,Michella,223300,,Canada,https://tiktok.com/@michellapomales,StarNgage
__ahmad_m1,Ahmad M,222500,,Canada,https://tiktok.com/@__ahmad_m1,StarNgage
doctor.mark,Mark Warawa,218100,,Canada,https://tiktok.com/@doctor.mark,StarNgage
davisitowilson,DAVISITO WILSON,214400,,Canada,https://tiktok.com/@davisitowilson,StarNgage
thathomiet,Tasha Wespi,201400,,Canada,https://tiktok.com/@thathomiet,StarNgage
natalieallport,Natalie Allport,200000,,Canada,https://tiktok.com/@natalieallport,StarNgage
alexx.fitt,alexx.fitt,194900,,Canada,https://tiktok.com/@alexx.fitt,StarNgage
adembarucija_,Adem Barucija,194300,,Canada,https://tiktok.com/@adembarucija_,StarNgage
kailawenn,kaila,188400,4.61%,"Toronto, Canada",https://tiktok.com/@kailawenn,influData
